t,fl_hip,fl_thigh,fl_crank,fr_hip,fr_thigh,fr_crank,rl_hip,rl_thigh,rl_crank,rr_hip,rr_thigh,rr_crank
0.000000000000000000e+00,-0.000000000000000000e+00,1.681974447777837001e-01,2.058218286351999049e-01,-0.000000000000000000e+00,2.329797527419670278e-01,1.872632675769037580e-01,0.000000000000000000e+00,-2.329797527419667780e-01,-1.872632675769033694e-01,0.000000000000000000e+00,-1.681974447777837833e-01,-2.058218286352002935e-01
1.666666666666666774e-03,-0.000000000000000000e+00,1.650782445889319994e-01,2.034305763230766506e-01,-0.000000000000000000e+00,2.350648488966906591e-01,1.898649620814434336e-01,0.000000000000000000e+00,-2.350648488966944061e-01,-1.898649620814555350e-01,0.000000000000000000e+00,-1.650782445889268368e-01,-2.034305763230755404e-01
3.333333333333333547e-03,-0.000000000000000000e+00,1.619631362609225411e-01,2.010346088395611186e-01,-0.000000000000000000e+00,2.371434173817287550e-01,1.922386805141613753e-01,0.000000000000000000e+00,-2.371434173817308089e-01,-1.922386805141706456e-01,0.000000000000000000e+00,-1.619631362609177949e-01,-2.010346088395545960e-01
5.000000000000000104e-03,-0.000000000000000000e+00,1.588521553997495617e-01,1.986339531640573253e-01,-0.000000000000000000e+00,2.392198390858825685e-01,1.943882792306465546e-01,0.000000000000000000e+00,-2.392198390858874257e-01,-1.943882792306462770e-01,0.000000000000000000e+00,-1.588521553997531421e-01,-1.986339531640629041e-01
6.666666666666667095e-03,-0.000000000000000000e+00,1.557453377865523902e-01,1.962286365305452307e-01,-0.000000000000000000e+00,2.412978690777193291e-01,1.963175045407044295e-01,0.000000000000000000e+00,-2.412978690777193846e-01,-1.963175045407014874e-01,0.000000000000000000e+00,-1.557453377865543886e-01,-1.962286365305502267e-01
8.333333333333333218e-03,-0.000000000000000000e+00,1.526427193665464699e-01,1.938186864216042138e-01,-0.000000000000000000e+00,2.433806487199102475e-01,1.980299942430584770e-01,0.000000000000000000e+00,-2.433806487199094426e-01,-1.980299942430589766e-01,0.000000000000000000e+00,-1.526427193665517157e-01,-1.938186864215954985e-01
1.000000000000000021e-02,-0.000000000000000000e+00,1.495443362458549197e-01,1.914041305660495740e-01,-0.000000000000000000e+00,2.454707185695411409e-01,1.995292795693341392e-01,0.000000000000000000e+00,-2.454707185695430005e-01,-1.995292795693333898e-01,0.000000000000000000e+00,-1.495443362458613590e-01,-1.914041305660573178e-01
1.166666666666666720e-02,-0.000000000000000000e+00,1.464502246883098435e-01,1.889849969366356186e-01,-0.000000000000000000e+00,2.475700320269735022e-01,2.008187874891043390e-01,0.000000000000000000e+00,-2.475700320269740018e-01,-2.008187874891027291e-01,0.000000000000000000e+00,-1.464502246883067071e-01,-1.889849969366405313e-01
1.333333333333333419e-02,-0.000000000000000000e+00,1.433604211122452288e-01,1.865613137475397587e-01,-0.000000000000000000e+00,2.496799696963817872e-01,2.019018433356340458e-01,0.000000000000000000e+00,-2.496799696963818982e-01,-2.019018433356365994e-01,0.000000000000000000e+00,-1.433604211122422867e-01,-1.865613137475450600e-01
1.500000000000000118e-02,-0.000000000000000000e+00,1.402749620872604797e-01,1.841331094520107514e-01,-0.000000000000000000e+00,2.518013544195700781e-01,2.027816737133952552e-01,0.000000000000000000e+00,-2.518013544195681908e-01,-2.027816737133947556e-01,0.000000000000000000e+00,-1.402749620872640324e-01,-1.841331094520111400e-01
1.666666666666666644e-02,-0.000000000000000000e+00,1.371938843309899458e-01,1.817004127398856861e-01,-0.000000000000000000e+00,2.539344669434195900e-01,2.034614096498385538e-01,0.000000000000000000e+00,-2.539344669434204782e-01,-2.034614096498381375e-01,0.000000000000000000e+00,-1.371938843309891132e-01,-1.817004127398825497e-01
1.833333333333333343e-02,-0.000000000000000000e+00,1.341172247057484113e-01,1.792632525350888184e-01,-0.000000000000000000e+00,2.560790621800824174e-01,2.039440899555737541e-01,0.000000000000000000e+00,-2.560790621800833056e-01,-2.039440899555704234e-01,0.000000000000000000e+00,-1.341172247057475786e-01,-1.792632525350985884e-01
2.000000000000000042e-02,-0.000000000000000000e+00,1.310450202153260191e-01,1.768216579931969901e-01,-0.000000000000000000e+00,2.582343860181604556e-01,2.042326647589053079e-01,0.000000000000000000e+00,-2.582343860181626205e-01,-2.042326647589040312e-01,0.000000000000000000e+00,-1.310450202153293775e-01,-1.768216579932025412e-01
2.166666666666666741e-02,-0.000000000000000000e+00,1.279773080015888520e-01,1.743756584988210845e-01,-0.000000000000000000e+00,2.603991926426373893e-01,2.043299991830294371e-01,0.000000000000000000e+00,-2.603991926426363346e-01,-2.043299991830311857e-01,0.000000000000000000e+00,-1.279773080015892128e-01,-1.743756584988266078e-01
2.333333333333333440e-02,-0.000000000000000000e+00,1.249141253411821390e-01,1.719252836630849324e-01,-0.000000000000000000e+00,2.625717623212289742e-01,2.042388771367499856e-01,0.000000000000000000e+00,-2.625717623212258656e-01,-2.042388771367498468e-01,0.000000000000000000e+00,-1.249141253411820973e-01,-1.719252836630854042e-01
