v_body_mps,peak_joint_rad_s,rms_joint_rad_s,peak_motor_rad_s,peak_motor_rpm
5.000000000000000278e-02,7.419982941862733883e-01,2.627229867030841381e-01,4.696849202199110174e+00,4.485160604923280658e+01
1.487499999999999933e-01,2.207444925204162800e+00,7.816008854416751639e-01,1.397312637654234990e+01,1.334335279964675749e+02
2.474999999999999978e-01,3.672891556222052323e+00,1.300478784180266301e+00,2.324940355088559230e+01,2.220154499437023787e+02
3.462500000000000022e-01,5.138338187239941846e+00,1.819356682918857437e+00,3.252568072522883114e+01,3.105973718909371541e+02
4.450000000000000067e-01,6.603784818257834033e+00,2.338234581657448352e+00,4.180195789957208774e+01,3.991792938381720433e+02
5.437500000000000666e-01,8.069231449275729773e+00,2.857112480396039711e+00,5.107823507391537277e+01,4.877612157854072734e+02
6.425000000000000711e-01,9.534678080293614855e+00,3.375990379134631514e+00,6.035451224825857963e+01,5.763431377326417078e+02
7.412500000000000755e-01,1.100012471131151237e+01,3.894868277873222429e+00,6.963078942260187887e+01,6.649250596798769948e+02
8.400000000000000799e-01,1.246557134232939568e+01,4.413746176611813787e+00,7.890706659694507152e+01,7.535069816271113723e+02
9.387500000000000844e-01,1.393101797334729319e+01,4.932624075350404702e+00,8.818334377128836366e+01,8.420889035743466593e+02
1.037500000000000089e+00,1.539646460436518360e+01,5.451501974088996505e+00,9.745962094563161315e+01,9.306708255215814916e+02
1.136250000000000204e+00,1.686191123538306869e+01,5.970379872827587420e+00,1.067358981199748200e+02,1.019252747468815983e+03
1.235000000000000098e+00,1.832735786640094844e+01,6.489257771566177446e+00,1.160121752943179985e+02,1.107834669416050019e+03
1.333749999999999991e+00,1.979280449741883885e+01,7.008135670304768361e+00,1.252884524686612480e+02,1.196416591363285079e+03
1.432500000000000107e+00,2.125825112843672926e+01,7.527013569043359276e+00,1.345647296430045117e+02,1.284998513310519911e+03
1.531250000000000222e+00,2.272369775945464099e+01,8.045891467781951079e+00,1.438410068173478749e+02,1.373580435257755880e+03
1.630000000000000115e+00,2.418914439047252785e+01,8.564769366520543770e+00,1.531172839916910959e+02,1.462162357204990485e+03
1.728750000000000009e+00,2.565459102149040405e+01,9.083647265259132908e+00,1.623935611660342602e+02,1.550744279152224635e+03
1.827500000000000124e+00,2.712003765250828380e+01,9.602525163997723823e+00,1.716698383403774244e+02,1.639326201099458558e+03
1.926250000000000240e+00,2.858548428352619553e+01,1.012140306273631829e+01,1.809461155147208160e+02,1.727908123046694755e+03
2.024999999999999911e+00,3.005093091454409304e+01,1.064028096147490743e+01,1.902223926890641224e+02,1.816490044993930269e+03
2.123749999999999805e+00,3.151637754556196569e+01,1.115915886021349657e+01,1.994986698634072582e+02,1.905071966941163964e+03
2.222500000000000142e+00,3.298182417657984900e+01,1.167803675895209103e+01,2.087749470377504508e+02,1.993653888888398342e+03
2.321250000000000036e+00,3.444727080759773941e+01,1.219691465769068017e+01,2.180512242120937003e+02,2.082235810835633401e+03
2.419999999999999929e+00,3.591271743861562271e+01,1.271579255642927286e+01,2.273275013864368930e+02,2.170817732782867552e+03
2.518749999999999822e+00,3.737816406963351312e+01,1.323467045516786200e+01,2.366037785607801425e+02,2.259399654730102156e+03
2.617499999999999716e+00,3.884361070065143196e+01,1.375354835390645114e+01,2.458800557351235625e+02,2.347981576677339035e+03
2.716250000000000053e+00,4.030905733166929394e+01,1.427242625264504383e+01,2.551563329094666415e+02,2.436563498624572276e+03
2.814999999999999947e+00,4.177450396268719857e+01,1.479130415138363475e+01,2.644326100838099478e+02,2.525145420571807335e+03
2.913749999999999840e+00,4.323995059370506766e+01,1.531018205012222566e+01,2.737088872581530836e+02,2.613727342519041486e+03
3.012500000000000178e+00,4.470539722472296518e+01,1.582905994886081835e+01,2.829851644324963900e+02,2.702309264466276545e+03
3.111250000000000071e+00,4.617084385574086980e+01,1.634793784759941104e+01,2.922614416068396963e+02,2.790891186413512060e+03
3.209999999999999964e+00,4.763629048675877442e+01,1.686681574633799841e+01,3.015377187811830595e+02,2.879473108360748029e+03
3.308749999999999858e+00,4.910173711777667194e+01,1.738569364507659287e+01,3.108139959555263090e+02,2.968055030307983088e+03
3.407499999999999751e+00,5.056718374879451972e+01,1.790457154381518023e+01,3.200902731298693311e+02,3.056636952255215419e+03
3.506250000000000089e+00,5.203263037981245276e+01,1.842344944255377470e+01,3.293665503042128080e+02,3.145218874202452753e+03
3.604999999999999982e+00,5.349807701083030054e+01,1.894232734129236562e+01,3.386428274785558301e+02,3.233800796149685084e+03
3.703749999999999876e+00,5.496352364184823358e+01,1.946120524003095653e+01,3.479191046528993070e+02,3.322382718096922417e+03
3.802500000000000213e+00,5.642897027286610268e+01,1.998008313876954745e+01,3.571953818272424428e+02,3.410964640044156113e+03
3.901250000000000107e+00,5.789441690388402151e+01,2.049896103750814191e+01,3.664716590015858628e+02,3.499546561991392537e+03
4.000000000000000000e+00,5.935986353490186929e+01,2.101783893624672928e+01,3.757479361759288281e+02,3.588128483938624868e+03
